well_position	gene_name	pert_name	broad_sample	cell_line	ASSAY_WELL_ROLE	GeneID
o09	TCF4	TCF4_WT.2	ccsbBroad304_07036	U2OS	Treated	6925
o10	Luciferase	Luciferase_CTRL	NA	U2OS	CTRL	NA
o11	TGFB1	TGFB1_WT	ccsbBroad304_07056	U2OS	Treated	7040
o12	MAP2K4	MAP2K4_WT.2	BRDN0000464893	U2OS	Treated	6416
o13	TP53	TP53_WT.2	ccsbBroad304_07088	U2OS	Treated	7157
o14	MAP2K1	MAP2K1_WT.2	BRDN0000464894	U2OS	Treated	5604
o15	TRAF3	TRAF3_WT.2	ccsbBroad304_07098	U2OS	Treated	7187
o16	REL	REL_WT.2	BRDN0000464895	U2OS	Treated	5966
o17	eGFP	eGFP_CTRL	NA	U2OS	CTRL	NA
o18	eGFP	eGFP_CTRL	NA	U2OS	CTRL	NA
o19	eGFP	eGFP_CTRL	NA	U2OS	CTRL	NA
o20	eGFP	eGFP_CTRL	NA	U2OS	CTRL	NA
o21	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
o22	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
o23	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
o24	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
p01	STAT3	STAT3_C-C	BRDN0000464969	U2OS	Treated	6774
p02	FOXO1	FOXO1_WT.1	BRDN0000464875	U2OS	Treated	2308
p03	LacZ	LacZ_CTRL	NA	U2OS	CTRL	NA
p04	FOXO1	FOXO1_WT.2	BRDN0000464876	U2OS	Treated	2308
p05	AKT3	AKT3_E17K	BRDN0000464970	U2OS	Treated	10000
p06	LacZ	LacZ_CTRL	NA	U2OS	CTRL	NA
p07	BMPR1B	BMPR1B_Q203D	BRDN0000464971	U2OS	Treated	658
p08	ACVR1B	ACVR1B_WT.3	ccsbBroad304_00018	U2OS	Treated	91
p09	CDC42	CDC42_T17N	BRDN0000464972	U2OS	Treated	998
p10	AKT1	AKT1_WT.2	ccsbBroad304_00046	U2OS	Treated	207
p11	ATF6	ATF6_1-373	BRDN0000464973	U2OS	Treated	22926
p12	AKT2	AKT2_WT	ccsbBroad304_00047	U2OS	Treated	208
p13	XBP1	XBP1_S	BRDN0000464974	U2OS	Treated	7494
p14	RHOA	RHOA_WT	ccsbBroad304_00100	U2OS	Treated	387
p15	RHOA	RHOA_T19N	BRDN0000464975	U2OS	Treated	387
p16	ARNTL	ARNTL_WT	ccsbBroad304_00105	U2OS	Treated	406
p17	eGFP	eGFP_CTRL	NA	U2OS	CTRL	NA
p18	eGFP	eGFP_CTRL	NA	U2OS	CTRL	NA
p19	eGFP	eGFP_CTRL	NA	U2OS	CTRL	NA
p20	eGFP	eGFP_CTRL	NA	U2OS	CTRL	NA
p21	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
p22	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
p23	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
p24	EMPTY	EMPTY_	NA	U2OS	Untreated	NA
